Nature index,Count,Percent
0.924375,686,0.1%
0.925,3,0.0%
0.92625,391,0.0%
0.9295,481,0.0%
0.93,60,0.0%
0.935625,395,0.0%
0.9375,760,0.1%
0.938125,489,0.0%
0.939375,125,0.0%
0.94,1,0.0%
0.94125,286,0.0%
0.9445,197,0.0%
0.945,119,0.0%
0.950625,104,0.0%
0.9525,81,0.0%
0.953125,833,0.1%
0.954375,442,0.0%
0.95625,67,0.0%
0.958125,37,0.0%
0.9595,59,0.0%
0.96,13,0.0%
0.965625,385,0.0%
0.965625,166,0.0%
0.9675,321,0.0%
0.968125,904,0.1%
0.969375,66,0.0%
0.97125,45,0.0%
0.973125,21,0.0%
0.9745,83,0.0%
0.975,31,0.0%
0.980625,255,0.0%
0.9825,304,0.0%
0.983125,75,0.0%
0.984375,58,0.0%
0.98625,62,0.0%
0.988125,8,0.0%
0.9895,92,0.0%
0.99,105,0.0%
0.995625,189,0.0%
0.9975,452,0.0%
0.998125,170,0.0%
0.999375,71,0.0%
1,93,0.0%
1.00125,19,0.0%
1.0045,28,0.0%
1.005,6,0.0%
1.010625,648,0.1%
1.0125,389,0.0%
1.013125,88,0.0%
1.014375,143,0.0%
1.015,42,0.0%
1.01625,4,0.0%
1.018125,23,0.0%
1.02,20,0.0%
1.025625,258,0.0%
1.0275,52,0.0%
1.028125,77,0.0%
1.029375,336,0.0%
1.03,41,0.0%
1.03125,26,0.0%
1.0345,58,0.0%
1.040625,130,0.0%
1.0425,34,0.0%
1.043125,305,0.0%
1.044375,263,0.0%
1.045,123,0.0%
1.04625,92,0.0%
1.0495,27,0.0%
1.05,12,0.0%
1.055625,31,0.0%
1.0575,212,0.0%
1.058125,145,0.0%
1.059375,39,0.0%
1.059375,113,0.0%
1.06,65,0.0%
1.06125,23,0.0%
1.065625,3,0.0%
1.070625,61,0.0%
1.07125,5,0.0%
1.0725,93,0.0%
1.073125,186,0.0%
1.074375,119,0.0%
1.075,11,0.0%
1.07625,145,0.0%
1.0795,27,0.0%
1.08,17,0.0%
1.084375,26,0.0%
1.085625,680,0.1%
1.08625,49,0.0%
1.0875,232,0.0%
1.088125,28,0.0%
1.089375,30,0.0%
1.09,76,0.0%
1.09125,28,0.0%
1.0945,29,0.0%
1.095,79,0.0%
1.099375,4,0.0%
1.1,1713,0.2%
1.100625,184,0.0%
1.10125,20,0.0%
1.1025,29,0.0%
1.103125,93,0.0%
1.104375,64,0.0%
1.105,69,0.0%
1.10625,5,0.0%
1.11,101,0.0%
1.1125,83,0.0%
1.115625,122,0.0%
1.11625,974,0.1%
1.118125,958,0.1%
1.119375,41,0.0%
1.12,87,0.0%
1.123125,30,0.0%
1.1245,27,0.0%
1.1275,10,0.0%
1.128125,9,0.0%
1.129375,496,0.1%
1.130625,22,0.0%
1.13125,44,0.0%
1.133125,740,0.1%
1.134375,1,0.0%
1.135,111,0.0%
1.135,34,0.0%
1.13625,4,0.0%
1.138125,33,0.0%
1.144375,1184,0.1%
1.145625,263,0.0%
1.14625,743,0.1%
1.1475,35,0.0%
1.148125,1126,0.1%
1.15,270,0.0%
1.15125,113,0.0%
1.1545,1,0.0%
1.1575,38,0.0%
1.159375,30,0.0%
1.160625,177,0.0%
1.16125,1116,0.1%
1.1625,33,0.0%
1.163125,821,0.1%
1.164375,40,0.0%
1.165,387,0.0%
1.16625,172,0.0%
1.1725,1059,0.1%
1.174375,370,0.0%
1.175625,41,0.0%
1.17625,3033,0.3%
1.1775,111,0.0%
1.178125,553,0.1%
1.179375,76,0.0%
1.18,216,0.0%
1.1845,30,0.0%
1.1875,349,0.0%
1.189375,349,0.0%
1.190625,88,0.0%
1.19125,4624,0.5%
1.1925,27,0.0%
1.193125,1088,0.1%
1.194375,88,0.0%
1.195,271,0.0%
1.200625,665,0.1%
1.2025,80,0.0%
1.204375,3002,0.3%
1.20625,1673,0.2%
1.2075,16,0.0%
1.208125,176,0.0%
1.21,366,0.0%
1.2145,48,0.0%
1.215625,526,0.1%
1.2175,15,0.0%
1.219375,4556,0.5%
1.220625,223,0.0%
1.22125,999,0.1%
1.2225,497,0.1%
1.223125,159,0.0%
1.225,106,0.0%
1.22875,16,0.0%
1.230625,2736,0.3%
1.2325,541,0.1%
1.234375,1486,0.2%
1.23625,609,0.1%
1.2375,6,0.0%
1.238125,219,0.0%
1.24,151,0.0%
1.245625,635,0.1%
1.2475,1651,0.2%
1.249375,1674,0.2%
1.250625,128,0.0%
1.25125,1330,0.1%
1.253125,85,0.0%
1.255,394,0.0%
1.25875,77,0.0%
1.260625,2480,0.3%
1.2625,1274,0.1%
1.264375,1962,0.2%
1.265625,258,0.0%
1.26625,3571,0.4%
1.268125,258,0.0%
1.27,631,0.1%
1.275625,916,0.1%
1.275625,456,0.0%
1.2775,1470,0.1%
1.279375,914,0.1%
1.28125,1903,0.2%
1.283125,96,0.0%
1.285,1117,0.1%
1.290625,1842,0.2%
1.2925,3542,0.4%
1.294375,1149,0.1%
1.29625,3027,0.3%
1.298125,67,0.0%
1.3,924,0.1%
1.305625,731,0.1%
1.3075,838,0.1%
1.309375,640,0.1%
1.31125,2407,0.2%
1.313125,300,0.0%
1.315,58,0.0%
1.315,551,0.1%
1.31875,59,0.0%
1.320625,1380,0.1%
1.3225,494,0.1%
1.3225,1179,0.1%
1.324375,2990,0.3%
1.325,1,0.0%
1.32625,1134,0.1%
1.328125,10,0.0%
1.33,515,0.1%
1.33375,15,0.0%
1.3345,18,0.0%
1.335625,834,0.1%
1.3375,2862,0.3%
1.339375,3845,0.4%
1.34125,3980,0.4%
1.343125,73,0.0%
1.345,225,0.0%
1.3495,17,0.0%
1.350625,1532,0.2%
1.3525,1035,0.1%
1.353125,13,0.0%
1.354375,1946,0.2%
1.35625,57,0.0%
1.35625,226,0.0%
1.358125,9,0.0%
1.36,313,0.0%
1.365625,1580,0.2%
1.3675,6980,0.7%
1.369375,5852,0.6%
1.37125,1032,0.1%
1.373125,32,0.0%
1.375,260,0.0%
1.380625,285,0.0%
1.380625,593,0.1%
1.38125,116,0.0%
1.3825,3489,0.4%
1.384375,1361,0.1%
1.38625,710,0.1%
1.388125,44,0.0%
1.39,443,0.0%
1.395625,3823,0.4%
1.3975,3211,0.3%
1.399375,2085,0.2%
1.40125,377,0.0%
1.403125,50,0.0%
1.405,757,0.1%
1.409375,289,0.0%
1.410625,6454,0.7%
1.4125,3137,0.3%
1.414375,1320,0.1%
1.41625,22,0.0%
1.41625,402,0.0%
1.418125,54,0.0%
1.42,346,0.0%
1.425625,6414,0.6%
1.4275,1960,0.2%
1.429375,1342,0.1%
1.43125,113,0.0%
1.435,928,0.1%
1.4375,1538,0.2%
1.440625,6475,0.7%
1.4425,1406,0.1%
1.444375,923,0.1%
1.44625,117,0.0%
1.448125,30,0.0%
1.45,211,0.0%
1.455625,4575,0.5%
1.4575,5568,0.6%
1.458125,77,0.0%
1.459375,2126,0.2%
1.46125,68,0.0%
1.463125,158,0.0%
1.4645,3,0.0%
1.465,44,0.0%
1.465625,410,0.0%
1.470625,3038,0.3%
1.4725,2828,0.3%
1.473125,234,0.0%
1.474375,1445,0.1%
1.47625,478,0.0%
1.48,61,0.0%
1.485625,5447,0.6%
1.4875,1187,0.1%
1.4875,235,0.0%
1.488125,154,0.0%
1.489375,1322,0.1%
1.49125,255,0.0%
1.495,73,0.0%
1.500625,8964,0.9%
1.5025,1317,0.1%
1.503125,197,0.0%
1.504375,3252,0.3%
1.50625,120,0.0%
1.508125,34,0.0%
1.51,55,0.0%
1.515625,4133,0.4%
1.5175,659,0.1%
1.518125,66,0.0%
1.519375,1187,0.1%
1.52125,37,0.0%
1.523125,32,0.0%
1.525,28,0.0%
1.530625,5023,0.5%
1.5325,2283,0.2%
1.534375,1150,0.1%
1.53625,19,0.0%
1.538125,165,0.0%
1.54,58,0.0%
1.545625,1254,0.1%
1.5475,1753,0.2%
1.549375,905,0.1%
1.55,24,0.0%
1.55125,123,0.0%
1.553125,28,0.0%
1.555,26,0.0%
1.560625,5069,0.5%
1.5625,1143,0.1%
1.564375,803,0.1%
1.56625,122,0.0%
1.568125,36,0.0%
1.57,16,0.0%
