Mobile submodel,Count,Percent
1.77916666666667,3388,0.3%
1.78333333333333,2046,0.2%
1.78333333333333,3520,0.4%
1.7875,5951,0.6%
1.79166666666667,1038,0.1%
1.79166666666667,923,0.1%
1.79583333333333,232,0.0%
1.8,1,0.0%
1.8,2069,0.2%
1.8125,2553,0.3%
1.81666666666667,12635,1.3%
1.82083333333333,8091,0.8%
1.825,2280,0.2%
1.82916666666667,361,0.0%
1.83333333333333,41,0.0%
1.83333333333333,1871,0.2%
1.84583333333333,386,0.0%
1.84583333333333,1610,0.2%
1.85,8241,0.8%
1.85416666666667,1377,0.1%
1.85416666666667,1057,0.1%
1.85833333333333,1966,0.2%
1.8625,84,0.0%
1.86666666666667,1580,0.2%
1.87916666666667,6024,0.6%
1.88333333333333,5680,0.6%
1.8875,3025,0.3%
1.89166666666667,1696,0.2%
1.89583333333333,62,0.0%
1.89583333333333,250,0.0%
1.9,1798,0.2%
1.9125,7225,0.7%
1.91666666666667,1365,0.1%
1.91666666666667,4688,0.5%
1.92083333333333,1624,0.2%
1.925,1727,0.2%
1.92916666666667,64,0.0%
1.93333333333333,1050,0.1%
1.94583333333333,7475,0.8%
1.95,3956,0.4%
1.95416666666667,2133,0.2%
1.95833333333333,596,0.1%
1.95833333333333,408,0.0%
1.9625,2,0.0%
1.96666666666667,3392,0.3%
1.97916666666667,694,0.1%
1.97916666666667,7044,0.7%
1.98333333333333,2215,0.2%
1.9875,1811,0.2%
1.99166666666667,820,0.1%
1.99583333333333,245,0.0%
2,1783,0.2%
2.0125,4990,0.5%
2.01666666666667,8186,0.8%
2.02083333333333,2745,0.3%
2.02083333333333,1212,0.1%
2.025,257,0.0%
2.02916666666667,517,0.1%
2.03333333333333,143,0.0%
2.04583333333333,3247,0.3%
2.05,8157,0.8%
2.05416666666667,2885,0.3%
2.05833333333333,1487,0.2%
2.06666666666667,121,0.0%
2.07916666666667,6399,0.6%
2.08333333333333,2941,0.3%
2.08333333333333,1385,0.1%
2.0875,1636,0.2%
2.09166666666667,1192,0.1%
2.1,199,0.0%
2.1125,9941,1.0%
2.11666666666667,4071,0.4%
2.12083333333333,5539,0.6%
2.125,382,0.0%
2.12916666666667,71,0.0%
2.13333333333333,69,0.0%
2.14583333333333,3539,0.4%
2.14583333333333,1482,0.2%
2.15,1415,0.1%
2.15416666666667,2253,0.2%
2.15833333333333,204,0.0%
2.1625,53,0.0%
2.16666666666667,63,0.0%
2.17916666666667,5960,0.6%
2.18333333333333,6011,0.6%
2.1875,1688,0.2%
2.19166666666667,270,0.0%
2.19583333333333,174,0.0%
2.2,169,0.0%
2.2125,1571,0.2%
2.21666666666667,6552,0.7%
2.22083333333333,1394,0.1%
2.225,293,0.0%
2.22916666666667,28,0.0%
2.23333333333333,42,0.0%
2.24583333333333,7856,0.8%
2.25,3664,0.4%
2.25416666666667,1363,0.1%
2.25833333333333,203,0.0%
2.2625,61,0.0%
2.26666666666667,36,0.0%
2.27916666666667,7834,0.8%
2.28333333333333,1874,0.2%
2.2875,3554,0.4%
2.29166666666667,163,0.0%
2.29583333333333,68,0.0%
2.3,41,0.0%
2.3125,3805,0.4%
2.31666666666667,723,0.1%
2.32083333333333,2113,0.2%
2.325,621,0.1%
2.32916666666667,12,0.0%
2.33333333333333,37,0.0%
2.34166666666667,26,0.0%
2.34583333333333,3524,0.4%
2.35,4178,0.4%
2.35416666666667,384,0.0%
2.35416666666667,339,0.0%
2.35833333333333,206,0.0%
2.3625,14,0.0%
2.37916666666667,1502,0.2%
2.38333333333333,8484,0.9%
2.3875,842,0.1%
2.39166666666667,449,0.0%
2.4,29,0.0%
2.4125,6169,0.6%
2.41666666666667,1602,0.2%
2.41666666666667,1718,0.2%
2.42083333333333,1388,0.1%
2.425,155,0.0%
2.43333333333333,103,0.0%
2.44583333333333,3581,0.4%
2.45,1753,0.2%
2.45416666666667,2694,0.3%
2.45833333333333,8,0.0%
2.46666666666667,214,0.0%
2.47916666666667,1878,0.2%
2.47916666666667,314,0.0%
2.48333333333333,1459,0.1%
2.4875,489,0.0%
2.49166666666667,1,0.0%
2.49583333333333,33,0.0%
2.5125,402,0.0%
2.51666666666667,3824,0.4%
2.52083333333333,361,0.0%
2.525,32,0.0%
2.52916666666667,42,0.0%
2.54583333333333,2930,0.3%
2.55,5041,0.5%
2.55416666666667,385,0.0%
2.55833333333333,345,0.0%
2.57916666666667,4112,0.4%
2.58333333333333,2275,0.2%
2.5875,533,0.1%
2.59166666666667,467,0.0%
2.6125,2571,0.3%
2.61666666666667,392,0.0%
2.62083333333333,1230,0.1%
2.64583333333333,1725,0.2%
2.65,1202,0.1%
2.65416666666667,1735,0.2%
2.67916666666667,43,0.0%
2.68333333333333,367,0.0%
2.6875,100,0.0%
2.7125,2049,0.2%
2.71666666666667,5872,0.6%
2.74583333333333,426,0.0%
2.75,3043,0.3%
2.77916666666667,3360,0.3%
2.8125,1558,0.2%
Total,987427,-
